|wheels|maltese cross (12x6.5mm front, 10x5.5mm rear)|maltese cross 12x6.5mm front / maltese cross 10x5.5mm rear|
|wheels|maltese cross (10x5.5mm front, 12x6.5mm rear)|maltese cross 10x5.5mm front / maltese cross 12x6.5mm rear|
|area|r/^AUSROW$|R;A
|area|r/^AUSUSA$|U;A
|area|r/^B$|BE
|area|r/^CDN$|CA
|area|r/^CNCDN$|CA;CN
|area|r/^CNGB$|GB;CN
|area|r/^CNH$|CN;H
|area|r/^CNNL$|CN;NL
|area|r/^CNZW$|CN;ZW
|area|r/^D / A$|DE;AT
|area|r/^DCN$|DE;CN
|area|r/^DGB$|DE;GB
|area|r/^DJ$|DE;JP
|area|r/^E$|ES
|area|r/^F$|FR
|area|r/^FNL$|FR;NL
|area|r/^GBD / A$|GB;DE;AT
|area|r/^GBD$|GB;DE
|area|r/^H$|HU
|area|r/^I$|IT
|area|r/^IRL$|IE
|area|r/^J$|JP
|area|r/^KSA$|SA
|area|r/^M$|MT
|area|r/^MAL$|MY
|area|r/^MEX$|MX
|area|r/^ROWD$|R;D
|area|r/^ROWGB$|R;B
|area|r/^S$|SE
|area|r/^SA$|SE;AT
|area|r/^SDK$|SE;DK
|area|r/^SLO$|SK
|area|r/^USAAUS$|U;A
|area|r/^USACDN$|U;CA
|area|r/^USAD$|U;D
|area|r/^USANZ$|U;NZ
|area|r/^USAUSA$|U
|area|r/^USA$|U
|area|r/^AUS$|A
|area|r/^CORE$|W
|area|r/^GB$|B
|area|r/^LA$|L
|area|r/^ROW$|R
|category|r/^5PCK$|5P
|category|r/^AM$|AA
|category|r/^ANV$|50P
|category|r/^BB$|BOB
|category|r/^EL$|ELV
|category|r/^ELP$|ELV
|category|r/^FP$|FOR
|category|r/^H$|HR
|category|r/^LA$|LP
|category|r/^SG$|SOG
|category|r/^\(IC\)$|IC
