formatter|man|tomica|Tomica Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
style|.table|bgc,#FFFFFF
data|m|id,subid,first_year,scale,rawname,desc
data|H|year,label,title

H|1970|m|Tomica Models


m| 27|  7|2004|  1:64|Mitsubishi Grandis
m| 27|  8|2007|  1:63|Toyota Corolla Axio
m| 27|  9|2010|  1:64|Nissan Juke
m| 27| 10|2013|  1:69|Nissan NV350 caravan Fire Command Vehicle

m| 28|  1|1971|  1:65|Toyota Crown Taxi
m| 28|  2|1972|  1:65|Toyota Crown Taxi
m| 28|  3|1977|  1:65|Datsun Cedric Taxi
m| 28|  4|1980|  1:65|Datsun Cedric Taxi
m| 28|  5|1984|  1:65|Toyota Crown Taxi
m| 28|  6|1988|  1:63|Toyota Road Maintenance
m| 28|  7|2004|  1:65|Honda Elysion
m| 28|  8|2009|  1:60|Toyoda iQ
m| 28|  9|2013| 1:174|John Deere Combine 9670STS

m| 29|  1|1972| 1:110|Hino Fire Truck
m| 29|  2|1975| 1:125|Hino Fire Truck
m| 29|  3|2003|      |Mitsubishi Canter Sakai Moving Service

m| 30|  1|1972|  1:60|Mitsubishi Galant GTO-MR
m| 30|  2|1975|  1:37|Yamaha TX750 Bike
m| 30|  3|1982|  1:34|Honda CB750F Bike
m| 30|  4|1985|  1:60|Honda Quint Integra
m| 30|  5|1993|  1:61|Mitsubishi Pajero Metal Top
m| 30|  6|1999|  1:63|Mitsubishi Pajero Gdi
m| 30|  7|2006| 1:141|Mitsubishi Fuso Aero Star Route Bus
m| 30|  8|2011|      |Dinosaur Transport Vehicle

m| 31|  1|1972|  1:62|Toyota EX-7
m| 31|  2|1980|  1:55|Suzuki Carry Van
m| 31|  3|1985|  1:52|Subaru Sambar Panel Van
m| 31|  4|1994|  1:59|Nissan Primera
m| 31|  5|2001|  1:65|Nissan Cima
m| 31|  6|2006|      |Nissan Diesel Quon
m| 31|  7|2012|      |UD Trucks Condor

m| 32|  1|1972|  1:65|Toyota Crown
m| 32|  2|1975|  1:65|Toyota Crown 2600 Royal Saloon
m| 32|  3|1979| 1:165|Komatsu Motor Scraper WS16
m| 32|  4|1983|  1:61|Toyota Corolla Sedan
m| 32|  5|1987|  1:78|Isuzu Elf Panel Van
m| 32|  6|2000|  1:65|Nissan Gloria
m| 32|  7|2004|  1:63|Toyota Crown
m| 32|  8|2008|  1:63|Toyota Crown
m| 32|  9|2011|  1:57|Daihatsu Move

m| 33|  1|1972|  1:65|Nissan Cedric
