formatter|pic/lesney|mline|Matchbox Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
dir|CAT|pic/man
dir|RW|pic/man
dir|SF|pic/man
dir|K|pic/king
dir|M|pic/king
dir|Y|pic/mcoll
RW|1965|1969|41|3|Ford G.T. 40 (Sports Racer)
SF|1970|1971|41|1|Ford GT
SF|1972|1976|41|2|Siva Spyder
SF|1977|1981|41|3|Chevrolet Ambulance|MB041
RW|1957|1964|42|1|Bedford Evening News Van
RW|1965|1968|42|2|Studebaker Lark Wagonaire
RW|1969|1969|42|3|Iron Fairy Crane
SF|1970|1971|42|1|Iron Fairy Crane
SF|1972|1976|42|2|Tyre Fryer
SF|1977|1981|42|3|Mercedes Container Truck|MB042
RW|1958|1961|43|1|Hillman Minx
RW|1962|1967|43|2|Aveling-Barford Tractor Shovel
RW|1968|1969|43|3|Pony Trailer
SF|1970|1971|43|1|Pony Trailer
SF|1972|1977|43|2|Dragon Wheels
SF|1978|1981|43|3|0-4-0 Loco|MB043
RW|1958|1963|44|1|Rolls Royce Silver Cloud
RW|1964|1966|44|2|Rolls Royce Phantom V
RW|1967|1969|44|3|G.M.C. Refrigerator Truck
SF|1970|1971|44|1|Refrigerator Truck
SF|1972|1977|44|2|Boss Mustang
SF|1978|1981|44|3|Passenger Coach|MB045
RW|1958|1964|45|1|Vauxhall Victor
RW|1965|1969|45|2|Ford Corsair with Boat
SF|1970|1975|45|1|Ford Group 6
SF|1976|1981|45|2|BMW 3.0 CSL
RW|1958|1959|46|1|Morris Minor 1000
RW|1960|1967|46|2|Pickfords Removal Van
RW|1968|1969|46|3|Mercedes Benz 300 SE
SF|1970|1971|46|1|Mercedes 300SE
SF|1972|1977|46|2|Stretcha Fetcha
SF|1978|1980|46|3|Ford Tractor|MB046
SF|1981|1981|46|4|Hot Chocolate/Beetle Streaker
RW|1958|1962|47|1|1 Ton Trojan Van
RW|1963|1967|47|2|Commer Ice Cream Canteen
RW|1968|1969|47|3|DAF Tipper Container Truck
SF|1970|1973|47|1|DAF Tipper Truck
SF|1974|1978|47|2|Beach Hopper
SF|1979|1981|47|3|Pannier Loco
RW|1958|1960|48|1|Meteor Sports Boat and Trailer
RW|1961|1965|48|2|Sports Boat and Trailer
